main profile,friend profile_,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost
100001531730648,1310833_,0,0,0,0,0,0,0,0,0,0
100001531730648,10227608_,0,0,0,0,0,0,0,0,0,0
100001531730648,500854804_,0,0,0,0,0,0,0,0,0,0
100001531730648,523247926_,0,0,0,0,0,0,0,0,0,0
100001531730648,528706460_,0,0,0,0,0,0,0,0,0,0
100001531730648,532004792_,0,0,0,0,0,0,0,0,0,0
100001531730648,533590123_,0,0,0,0,0,0,0,0,0,0
100001531730648,538647453_,0,0,0,38,0,0,0,0,0,0
100001531730648,541898469_,0,0,0,0,0,0,0,0,0,0
100001531730648,544113393_,0,0,0,0,0,0,0,0,0,0
100001531730648,544438339_,3,0,0,0,0,0,0,0,0,0
100001531730648,546142945_,1,0,0,0,0,0,0,0,0,0
100001531730648,552032156_,0,0,0,0,0,0,0,0,0,0
100001531730648,580110239_,0,0,0,0,0,0,0,0,0,0
100001531730648,580361740_,0,0,0,0,0,0,0,0,0,0
100001531730648,589704308_,0,0,0,20,0,0,0,0,0,0
100001531730648,591263294_,0,0,0,0,0,0,0,0,0,0
100001531730648,600024158_,1,0,1,80,0,0,0,0,0,0
100001531730648,601633941_,0,0,0,0,0,0,0,0,0,0
100001531730648,602884464_,0,0,1,0,0,0,0,0,0,0
100001531730648,614937398_,2,0,0,1000,0,0,0,0,0,0
100001531730648,615700435_,0,0,3,0,0,0,0,0,1,0
100001531730648,616349872_,0,0,0,0,0,0,0,0,0,0
100001531730648,617264180_,0,0,0,492,0,0,0,0,0,0
100001531730648,622498358_,0,0,0,0,0,0,0,0,0,0
100001531730648,623057473_,0,0,0,0,0,0,0,0,0,0
100001531730648,625945058_,0,0,0,0,0,0,0,0,0,0
100001531730648,630667473_,0,0,2,0,0,0,0,0,0,0
100001531730648,635004592_,0,0,0,0,0,0,0,0,0,0
100001531730648,639994774_,0,0,0,0,0,0,0,0,0,0
100001531730648,645924075_,0,0,0,23,0,0,0,0,0,0
100001531730648,646812654_,6,0,0,6,0,0,0,0,0,0
100001531730648,649120909_,0,0,0,0,0,0,0,0,0,0
100001531730648,654335039_,0,0,0,0,0,0,0,0,0,0
100001531730648,664905797_,0,0,0,0,0,0,0,0,0,0
100001531730648,667384141_,0,0,0,0,0,0,0,0,0,0
100001531730648,671757987_,0,0,0,0,0,0,0,0,0,0
100001531730648,687988935_,0,0,0,110,0,0,0,0,0,0
100001531730648,692703877_,0,0,0,0,0,0,0,0,0,0
100001531730648,696418940_,1,0,0,22,0,0,0,0,0,0
100001531730648,698072318_,0,0,0,0,0,0,0,0,0,0
100001531730648,698697757_,0,0,0,0,0,0,0,0,0,0
100001531730648,707958517_,0,0,0,0,0,0,0,0,0,0
100001531730648,713119276_,0,0,0,0,0,0,0,0,0,0
100001531730648,713669184_,0,0,0,0,0,0,0,0,0,0
100001531730648,713804139_,0,0,0,0,0,0,0,0,0,0
100001531730648,719996392_,0,0,0,1568,0,0,0,0,0,0
100001531730648,721268890_,1,0,0,0,0,0,0,0,0,0
100001531730648,721957162_,0,0,0,0,0,0,0,0,0,0
100001531730648,730278174_,0,0,0,542,0,0,0,0,0,0
100001531730648,731407814_,0,0,0,0,0,0,0,0,0,0
100001531730648,733757070_,0,0,0,0,0,0,0,0,0,0
100001531730648,740188517_,0,0,0,0,0,0,0,0,0,0
100001531730648,742289669_,0,0,0,0,0,0,0,0,0,0
100001531730648,744091697_,0,0,0,0,0,0,0,0,0,0
100001531730648,746779459_,0,0,0,520,0,0,0,0,0,0
100001531730648,753997975_,0,0,0,0,0,0,0,0,0,0
100001531730648,769821158_,0,0,0,0,0,0,0,0,0,0
100001531730648,771345628_,0,0,1,0,0,0,5,0,0,0
100001531730648,780333278_,0,0,0,0,0,0,0,0,0,0
100001531730648,786753874_,0,0,3,6609,0,0,0,0,0,2
100001531730648,789852574_,1,0,0,0,0,0,0,0,0,0
100001531730648,811028628_,0,0,0,0,0,0,0,0,0,0
100001531730648,816592248_,0,0,0,0,0,0,0,0,0,0
100001531730648,819754580_,0,0,0,0,0,0,0,0,0,0
100001531730648,828627402_,1,0,0,0,0,0,0,0,0,0
100001531730648,838292678_,0,0,0,0,0,0,0,0,0,0
100001531730648,845869310_,0,0,0,0,0,0,0,0,0,0
100001531730648,846739576_,0,0,0,30,0,0,0,0,0,0
100001531730648,1005077109_,0,0,0,0,0,0,0,0,0,0
