main profile,friend profile_,fbfm.stats.features.FeatureCommonGroups,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,class
100001531730648_,1013161271_,3.0,0.0,30.0,0.0,0.0,1.0,0.0
100001531730648_,1014214289_,0.0,0.008333334,28.0,0.0,0.0,0.0,0.0
100001531730648_,1019563766_,1.0,0.00729927,6.0,0.0,0.0,0.0,1.0
100001531730648_,1020101388_,0.0,0.014492754,26.0,0.0,0.0,0.0,0.0
100001531730648_,1020838887_,0.0,0.024,2.0,0.0,0.0,0.0,0.0
100001531730648_,1020866858_,0.0,0.012820513,42.0,0.0,0.0,0.0,0.0
100001531730648_,1027759731_,0.0,0.0,26.0,0.0,0.0,0.0,0.0
100001531730648_,1031696099_,0.0,0.021582734,34.0,0.0,0.0,0.0,0.0
100001531730648_,1032281707_,10.0,0.0,23.0,0.0,0.0,0.0,1.28276592525
100001531730648_,1037150002_,0.0,0.021276595,8.0,2.0,0.0,0.0,0.702562793161
100001531730648_,1037401204_,2.0,0.0125,37.0,0.0,0.0,0.0,1.80860413162
100001531730648_,1041442064_,1.0,0.015267176,38.0,0.0,0.0,0.0,0.0
100001531730648_,1047452295_,1.0,0.041322313,49.0,4.0,0.0,1.0,0.980882241685
100001531730648_,1047826013_,1.0,0.0,9.0,0.0,0.0,0.0,0.0
100001531730648_,1050220143_,1.0,0.01754386,35.0,0.0,0.0,0.0,0.0
100001531730648_,1058305293_,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100001531730648_,1060346822_,1.0,0.0,37.0,0.0,0.0,0.0,0.0
100001531730648_,1061133214_,0.0,0.0074074073,25.0,0.0,0.0,0.0,0.0
100001531730648_,1063710907_,2.0,0.012820513,2.0,0.0,0.0,1.0,0.0
100001531730648_,1065982846_,2.0,0.0127795525,1.0,0.0,0.0,1.0,0.2
100001531730648_,1065998877_,3.0,0.011363637,48.0,0.0,0.0,1.0,0.0625
100001531730648_,1069814399_,2.0,0.014925373,23.0,0.0,0.0,0.0,0.0
100001531730648_,1070725197_,1.0,0.0,17.0,0.0,0.0,0.0,0.0
100001531730648_,1075563322_,1.0,0.0052083335,62.0,0.0,0.0,0.0,0.0
100001531730648_,1075880738_,0.0,0.008333334,25.0,0.0,0.0,0.0,0.0625
100001531730648_,1078971573_,1.0,0.010638298,18.0,0.0,0.0,0.0,0.0
100001531730648_,1079927643_,0.0,0.08461539,12.0,5.0,1.0,0.0,1.97269098288
100001531730648_,1083554242_,8.0,0.016393442,17.0,0.0,0.0,1.0,0.141019821456
100001531730648_,1089918417_,7.0,0.0062111802,7.0,0.0,0.0,0.0,0.0
100001531730648_,1091922346_,0.0,0.0,8.0,0.0,0.0,0.0,0.0625
100001531730648_,1091941150_,1.0,0.0067114094,5.0,1.0,0.0,1.0,0.0
100001531730648_,1106651061_,1.0,0.0,25.0,1.0,1.0,0.0,0.0
100001531730648_,1110364589_,0.0,0.017699115,37.0,0.0,0.0,0.0,0.0
100001531730648_,1116103722_,11.0,0.03883495,6.0,0.0,0.0,1.0,0.329569526403
100001531730648_,1117411852_,1.0,0.015037594,5.0,0.0,0.0,0.0,0.0
100001531730648_,1122693319_,1.0,0.011494253,3.0,0.0,0.0,1.0,0.0
100001531730648_,1126047181_,0.0,0.022222223,4.0,0.0,0.0,1.0,0.0
100001531730648_,1132909068_,1.0,0.0,16.0,0.0,0.0,0.0,0.2
100001531730648_,1134530671_,3.0,0.0,9.0,0.0,0.0,0.0,0.0
100001531730648_,1141694067_,1.0,0.009615385,25.0,0.0,0.0,0.0,0.0
100001531730648_,1157373111_,0.0,0.0,3.0,0.0,0.0,0.0,1.46224655772
100001531730648_,1165764025_,2.0,0.008888889,26.0,0.0,0.0,0.0,0.0
100001531730648_,1172285422_,0.0,0.016853932,20.0,0.0,0.0,0.0,0.0625
100001531730648_,1184932979_,7.0,0.021696253,38.0,0.0,0.0,1.0,0.318977908912
100001531730648_,1190684994_,0.0,0.0,19.0,0.0,0.0,0.0,0.2
100001531730648_,1204312364_,1.0,0.013333334,7.0,0.0,0.0,0.0,0.5
100001531730648_,1205100958_,0.0,0.0,33.0,0.0,0.0,0.0,0.0
100001531730648_,1214472467_,0.0,0.0,37.0,0.0,0.0,0.0,0.0
100001531730648_,1217006093_,0.0,0.004255319,0.0,0.0,0.0,0.0,0.0
100001531730648_,1218594503_,6.0,0.012244898,8.0,0.0,0.0,1.0,0.0
100001531730648_,1227536147_,0.0,0.016574586,4.0,0.0,0.0,0.0,0.00196701467696
100001531730648_,1240572370_,0.0,0.011235955,6.0,0.0,0.0,0.0,0.0
100001531730648_,1241787607_,1.0,0.0,13.0,0.0,0.0,0.0,1.0
100001531730648_,1243339425_,14.0,0.021428572,18.0,0.0,0.0,0.0,0.0
100001531730648_,1244170778_,9.0,0.047244094,17.0,0.0,0.0,1.0,0.0
100001531730648_,1261977689_,1.0,0.009708738,43.0,0.0,0.0,0.0,0.0
100001531730648_,1274079370_,0.0,0.020833334,24.0,0.0,0.0,0.0,0.0
100001531730648_,1279512366_,0.0,0.005050505,43.0,0.0,0.0,0.0,0.0625
100001531730648_,1283384233_,3.0,0.016233766,38.0,0.0,0.0,1.0,0.0
100001531730648_,1285112751_,1.0,0.0,25.0,0.0,0.0,0.0,0.0
100001531730648_,1287955015_,1.0,0.009615385,52.0,0.0,0.0,0.0,0.125
100001531730648_,1288501756_,1.0,0.006666667,26.0,0.0,0.0,0.0,0.0
100001531730648_,1290795020_,0.0,0.0,20.0,0.0,0.0,1.0,1.97179981843
100001531730648_,1291838411_,0.0,0.005952381,25.0,0.0,0.0,0.0,0.0
100001531730648_,1306436630_,2.0,0.00729927,34.0,0.0,0.0,0.0,0.0
100001531730648_,1310854819_,1.0,0.0,48.0,0.0,0.0,0.0,0.0625
100001531730648_,1311364793_,0.0,0.01724138,4.0,0.0,0.0,0.0,0.0
100001531730648_,1313814932_,1.0,0.018691588,39.0,0.0,0.0,0.0,0.0625
100001531730648_,1317467691_,5.0,0.0,59.0,0.0,0.0,1.0,0.0625
100001531730648_,1319250531_,1.0,0.030864198,1.0,0.0,0.0,0.0,0.0
100001531730648_,1320100952_,0.0,0.0034722222,20.0,0.0,0.0,0.0,0.601815705856
100001531730648_,1325717375_,0.0,0.015873017,19.0,0.0,0.0,0.0,0.0
100001531730648_,1331442506_,13.0,0.0,16.0,0.0,0.0,0.0,0.0269329701922
100001531730648_,1342805403_,0.0,0.0,15.0,0.0,0.0,0.0,0.0783874262369
100001531730648_,1343880441_,0.0,0.0,28.0,0.0,0.0,0.0,0.0625
