main profile,friend profile,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,100006303334903,0,0,0,0,0,0,0,0,0,0
786753874,100006348455811,1,0,0,0,0,0,5,0,0,0
786753874,100006395324234,0,0,0,0,0,0,0,0,0,0
786753874,100006488881326,2,0,0,0,0,0,0,0,0,0
786753874,100006526359305,0,0,0,0,0,0,0,0,0,0
786753874,100006687489857,0,0,0,0,0,0,0,0,0,0
786753874,100006759816466,0,0,0,0,0,0,0,0,0,0
786753874,100007476754480,0,0,0,0,0,0,1,0,0,0
786753874,100007829408400,0,0,0,0,0,0,0,0,0,0
786753874,100008305634668,0,0,0,0,0,0,0,0,0,0
