main profile,friend profile,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,1682379221,0,0,0,0,0,0,0,0,0,0
786753874,1690562898,6,0,0,0,0,0,5,0,2,0
786753874,1711142133,0,0,0,0,0,0,0,0,0,0
786753874,1735220027,0,0,0,0,0,0,0,0,0,0
786753874,1739662335,0,0,0,0,0,0,0,0,0,0
786753874,1758171969,0,0,0,0,0,0,0,0,0,11
786753874,1776199837,1,0,0,0,0,0,4,0,0,0
786753874,1781564937,5,0,0,0,0,0,0,0,0,0
786753874,1782222596,1,0,0,0,0,0,0,0,0,0
786753874,1787769347,0,1,0,0,0,0,3,2,0,1035
786753874,1795528175,0,0,0,0,0,0,0,0,0,0
786753874,1798296282,0,0,0,0,0,0,42,15,0,0
786753874,1811424547,0,0,0,0,0,0,1,0,0,0
786753874,1815188453,0,0,0,0,0,0,0,0,0,0
786753874,1818053958,0,0,0,0,0,0,0,0,0,0
786753874,1818335730,6,0,0,0,0,0,4,1,2,0
786753874,1822906426,0,0,0,0,0,0,0,0,0,0
786753874,1826771584,0,0,0,0,0,0,0,0,0,0
786753874,1838641057,0,0,0,0,0,0,0,0,0,0
786753874,1840868417,18,0,0,0,0,0,6,0,0,0
786753874,1850090662,0,0,0,0,0,0,11,2,0,0
786753874,1850802422,0,0,0,2,0,3,21,7,0,0
786753874,100000002809342,0,0,0,0,0,0,0,1,0,0
786753874,100000011902794,0,0,0,0,0,0,2,0,0,0
786753874,100000017140059,0,0,0,0,0,0,0,0,0,0
786753874,100000028793447,0,0,0,0,0,0,14,0,0,0
786753874,100000032424938,0,0,0,0,0,0,1,1,0,0
786753874,100000039757875,0,0,0,0,0,0,0,0,0,0
786753874,100000041534263,0,0,0,0,0,0,0,0,0,0
786753874,100000043487696,0,0,0,0,0,0,0,0,0,0
786753874,100000056034696,0,0,0,0,0,0,0,0,0,0
786753874,100000062057242,0,0,0,0,0,0,0,0,0,0
786753874,100000064564385,0,0,0,0,0,0,0,1,0,0
786753874,100000071751378,0,0,0,0,0,1,1,1,0,0
786753874,100000074820828,0,0,0,0,0,0,0,0,0,0
786753874,100000086929404,1,0,0,0,0,0,3,3,0,0
786753874,100000089623396,1,0,0,0,0,0,0,0,0,0
786753874,100000097472296,0,0,0,0,0,0,25,4,0,0
786753874,100000098200500,null,0,0,0,0,null,null,0,0,0
786753874,100000100580530,null,null,null,null,null,null,null,null,null,null
