main profile,friend profile,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,1016028958,2,0,0,null,0,0,0,0,0,0
786753874,1016706400,0,0,0,0,0,0,0,0,0,0
786753874,1017518588,1,0,0,0,0,0,0,0,0,0
786753874,1017708203,1,1,0,0,0,0,19,6,0,0
786753874,1018248894,0,0,0,0,0,0,0,0,0,0
786753874,1018851731,0,0,0,0,0,0,0,0,0,0
786753874,1019443507,12,0,0,0,0,0,8,2,2,0
786753874,1020969040,0,0,0,0,0,0,6,2,0,0
786753874,1021099085,1,0,0,0,0,0,2,0,0,0
786753874,1027954151,0,0,0,0,0,0,1,0,0,0
786753874,1029908662,1,0,0,0,0,0,7,3,0,0
786753874,1032281707,0,0,0,0,0,0,0,0,0,0
786753874,1036165703,0,0,0,0,0,0,0,0,0,0
786753874,1039832843,0,0,0,0,0,0,0,0,0,0
786753874,1040109633,0,0,0,0,0,0,6,4,0,0
786753874,1040455511,1,0,0,0,0,0,1,0,0,0
786753874,1040782519,0,0,0,0,0,0,0,0,0,0
786753874,1041028177,0,0,0,0,0,0,2,0,0,0
786753874,1041351558,0,0,0,0,0,0,0,0,0,0
786753874,1045460059,0,0,1,0,0,0,62,33,0,0
786753874,1047150945,1,0,0,0,0,0,0,0,0,0
786753874,1047929760,0,0,0,0,0,0,0,0,0,0
786753874,1049235634,0,2,0,0,0,1,18,7,0,0
786753874,1049867539,1,0,0,0,0,0,0,0,0,0
786753874,1052433254,0,0,0,0,0,0,0,0,0,0
786753874,1052618348,0,0,0,null,0,0,5,0,0,0
786753874,1054714315,0,0,0,0,0,0,0,0,0,0
786753874,1055024185,0,0,0,0,0,0,8,1,0,0
786753874,1055459885,0,0,0,0,0,0,0,0,0,0
786753874,1055630259,0,0,0,0,0,0,0,0,0,0
786753874,1057818999,0,0,0,0,0,0,0,0,0,0
786753874,1058842289,0,0,0,0,0,0,0,0,0,0
786753874,1059689768,0,0,0,0,0,0,0,1,0,0
786753874,1060875024,0,0,0,0,0,0,0,0,0,0
786753874,1061595217,null,0,0,0,0,0,null,0,0,0
786753874,1062124655,null,null,null,null,null,null,null,null,null,null
786753874,1062211624,null,null,null,null,null,null,null,null,null,null
786753874,1062309461,null,null,null,null,null,null,null,null,null,null
786753874,1062735642,null,null,null,null,null,null,null,null,null,null
786753874,1064957549,null,null,null,null,null,null,null,null,null,null
