main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,100004013176603,109,0,0,0.0375,0,11
786753874,100004279538205,33,0,0,0.008064516,1,2
786753874,100004306957043,30,0,0,0.032608695,0,5
786753874,100004321380846,155,0,0,0.02259887,0,5
786753874,100004328702727,70,0,0,0.050561797,0,7
786753874,100004378953957,94,0,0,0.04522613,0,7
786753874,100004386930599,71,0,0,0.017857144,0,4
786753874,100004392614484,1,0,0,0.0,0,0
786753874,100004409406830,12,0,0,0.008264462,0,3
786753874,100004436880439,61,0,0,0.0,0,2
786753874,100004551300688,63,0,0,0.082706764,0,6
786753874,100004602815998,71,0,0,0.009433962,0,2
786753874,100004722458871,118,0,0,0.025751073,0,4
786753874,100004787467832,212,0,0,0.05982906,0,15
786753874,100005406819592,54,0,0,0.017391304,0,1
786753874,100005449622639,28,0,0,0.008064516,0,0
786753874,100005553810413,6,0,0,0.009090909,0,0
786753874,100005931872382,25,0,0,0.0,0,0
786753874,100005968271330,21,0,0,0.0,0,0
786753874,100006303334903,65,0,0,0.009345794,0,6
786753874,100006348455811,184,0,0,0.033333335,0,9
786753874,100006395324234,50,0,0,0.009259259,0,1
786753874,100006488881326,110,0,0,0.0,0,1
786753874,100006526359305,107,0,0,0.009090909,0,5
786753874,100006687489857,53,0,0,0.030150754,0,2
786753874,100006759816466,3,0,0,0.0,0,0
786753874,100007476754480,12,0,0,0.006993007,0,1
786753874,100007829408400,93,0,0,0.0,0,2
786753874,100008305634668,30,0,0,0.008928572,0,1
786753874,1530644608,56,0,0,0.015625,1,7
