main profile,friend profile,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,1061595217,0,0,0,0,0,0,0,0,0,0
786753874,1062124655,1,0,0,0,0,0,0,0,0,0
786753874,1062211624,1,0,0,0,0,0,0,0,0,0
786753874,1062309461,2,0,0,0,0,0,2,1,0,0
786753874,1062735642,0,0,0,0,0,0,1,1,0,0
786753874,1064957549,0,0,0,0,0,0,0,0,0,0
786753874,1065240720,0,0,0,0,0,0,0,0,0,0
786753874,1067379514,0,0,0,0,0,0,11,0,0,0
786753874,1067635064,0,0,0,0,0,0,0,0,0,0
786753874,1069036242,9,0,0,0,0,1,44,7,6,1246
786753874,1070406518,0,0,0,0,0,0,2,0,0,0
786753874,1070867371,2,0,0,0,0,0,8,3,0,0
786753874,1071823405,0,0,0,0,0,0,2,0,0,0
786753874,1072145141,0,0,0,0,0,0,0,0,0,0
786753874,1072290881,0,0,0,0,0,0,13,3,0,0
786753874,1072571208,0,0,0,0,0,0,0,0,0,0
786753874,1073528633,0,0,0,0,0,0,0,4,0,0
786753874,1073802457,0,0,0,0,0,0,0,0,0,0
786753874,1080436633,1,0,0,0,0,0,0,1,1,0
786753874,1081664781,1,0,0,0,0,0,0,0,0,0
786753874,1083554242,0,0,0,0,0,0,0,0,0,0
786753874,1094254339,0,0,0,0,0,0,0,0,0,0
786753874,1099088175,0,0,0,0,0,0,0,0,0,0
786753874,1100412350,0,0,0,0,0,0,5,3,0,0
786753874,1101243577,2,0,0,0,0,0,20,11,0,0
786753874,1105223059,2,0,0,0,0,0,0,0,0,0
786753874,1105591578,0,0,0,2,0,6,6,1,0,0
786753874,1113003477,0,0,0,0,0,0,0,0,0,0
786753874,1121714667,0,0,0,0,0,0,1,0,0,0
786753874,1126045515,0,0,0,0,0,0,1,0,0,0
786753874,1126384949,0,0,0,0,0,0,12,2,0,0
786753874,1126828090,0,0,0,0,0,0,0,2,0,0
786753874,1134161021,0,0,0,0,0,0,0,0,0,0
786753874,1134884829,1,0,0,0,0,0,0,0,0,0
786753874,1136343516,0,0,0,0,0,0,0,0,0,0
786753874,1137651675,1,0,0,0,0,0,8,10,0,0
786753874,1138347931,2,0,0,0,0,0,3,0,1,0
786753874,1142142717,0,0,0,0,0,0,1,0,0,0
786753874,1143497082,2,1,0,13,0,2,0,1,1,921
786753874,1144135729,0,0,0,0,0,0,5,1,null,0
