main profile,friend profile,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,100000737763528,0,0,0,0,0,0,0,0,0,0
786753874,100000758186344,0,0,0,0,0,0,1,0,0,0
786753874,100000771118552,0,0,0,0,0,0,0,0,0,0
786753874,100000772782137,0,0,0,0,0,0,3,1,0,0
786753874,100000797242840,0,0,0,0,0,0,0,0,0,0
786753874,100000831739323,0,0,0,0,0,0,0,0,0,0
786753874,100000847835169,0,0,0,0,0,0,0,0,0,0
786753874,100000874745149,0,0,0,0,0,0,0,0,0,0
786753874,100000880426903,0,0,0,0,0,0,1,0,0,0
786753874,100000883237561,0,0,0,0,0,0,0,0,0,0
786753874,100000888591914,0,0,0,0,0,0,0,0,0,25
786753874,100000898056122,0,0,0,0,0,0,2,0,0,0
786753874,100000902467140,0,0,0,0,0,0,0,0,0,0
786753874,100000905107078,3,0,0,0,0,0,1,0,0,0
786753874,100000920018147,0,0,0,0,0,0,0,0,0,0
786753874,100000928160752,0,0,0,0,0,0,0,0,0,0
786753874,100000939259740,0,0,0,0,0,0,1,0,0,0
786753874,100000949810876,0,0,0,0,0,0,3,0,0,0
786753874,100000952174736,2,0,0,0,1,0,6,0,0,0
786753874,100000953723478,0,0,0,0,0,0,0,0,0,0
786753874,100000967637031,2,0,0,0,0,0,2,0,0,1
786753874,100001008036522,1,0,0,0,0,0,2,0,0,0
786753874,100001048511484,0,0,0,0,0,0,0,0,0,0
786753874,100001060790824,0,0,0,0,0,0,0,0,0,0
786753874,100001074697154,0,0,0,0,0,0,0,0,0,0
786753874,100001102698016,0,0,0,0,0,0,3,0,0,0
786753874,100001132068611,0,0,0,0,0,0,0,0,0,0
786753874,100001144756311,0,0,0,0,0,0,0,0,0,0
786753874,100001168146742,0,0,0,0,0,0,1,0,0,0
786753874,100001173043664,0,0,0,0,0,0,1,0,0,0
786753874,100001175536541,0,0,0,0,0,0,9,0,0,0
786753874,100001235457168,0,0,0,0,0,0,0,0,0,0
786753874,100001243186774,5,0,0,0,0,0,9,0,0,0
786753874,100001245463807,0,0,0,0,0,0,6,1,0,0
786753874,100001252011729,1,0,0,0,0,0,0,0,0,0
786753874,100001279123676,1,0,0,0,0,0,1,0,0,0
786753874,100001280095456,1,0,0,0,0,0,0,0,0,0
786753874,100001284138207,0,0,0,0,0,0,7,1,0,0
786753874,100001297755392,0,0,0,0,0,0,0,0,0,0
786753874,100001347005035,0,0,0,0,0,0,5,0,0,0
