main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,825192009,0,0,0,0,0,0,0,0,0,0
786753874,825432795,0,0,0,0,0,0,0,0,0,0
786753874,825964297,0,0,0,0,0,3,0,0,0,0
786753874,826803356,0,0,0,0,0,0,4,2,0,0
786753874,828643655,0,2,0,0,0,0,0,0,0,0
786753874,828699030,0,1,0,0,0,0,0,0,0,0
786753874,837717953,0,0,0,0,0,0,6,1,0,0
786753874,845055183,0,0,0,0,0,0,0,0,0,0
786753874,851729431,0,0,0,0,0,0,3,0,0,0
786753874,872115443,0,0,0,0,0,0,0,0,0,0
786753874,879800164,0,1,0,0,0,0,2,0,0,0
786753874,889410092,0,0,0,0,0,0,1,0,0,0
786753874,1002580454,0,0,0,0,0,0,0,1,0,0
786753874,1003936860,0,1,0,0,0,3,20,12,3,130
786753874,1007975210,0,1,0,0,0,0,3,1,0,0
786753874,1010672309,0,7,0,0,0,0,2,0,1,0
786753874,1011161277,0,0,0,0,0,0,7,2,0,0
786753874,1013561687,0,0,0,0,0,0,0,0,0,0
786753874,1013652369,0,1,0,0,0,0,8,20,0,401
786753874,1013818146,0,0,0,0,0,1,9,3,0,0
786753874,1013920763,0,1,0,0,0,0,4,0,0,0
786753874,1014516354,0,2,0,0,0,0,0,0,0,0
786753874,1014737648,0,0,0,0,0,0,0,0,0,0
786753874,1016028958,0,2,0,null,0,0,0,0,0,0
786753874,1016706400,0,0,0,0,0,0,null,null,0,0
786753874,1017518588,null,null,null,null,null,null,null,null,null,null
786753874,1017708203,null,null,null,null,null,null,null,null,null,null
786753874,1018248894,null,null,null,null,null,null,null,null,null,null
786753874,1018851731,null,null,null,null,null,null,null,null,null,null
786753874,1019443507,null,null,null,null,null,null,null,null,null,null
786753874,1020969040,null,null,null,null,null,null,null,null,null,null
786753874,1021099085,null,null,null,null,null,null,null,null,null,null
786753874,1027954151,null,null,null,null,null,null,null,null,null,null
786753874,1029908662,null,null,null,null,null,null,null,null,null,null
786753874,1032281707,null,null,null,null,null,null,null,null,null,null
786753874,1036165703,null,null,null,null,null,null,null,null,null,null
786753874,1039832843,null,null,null,null,null,null,null,null,null,null
786753874,1040109633,null,null,null,null,null,null,null,null,null,null
786753874,1040455511,null,null,null,null,null,null,null,null,null,null
786753874,1040782519,null,null,null,null,null,null,null,null,null,null
