main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,100000219945305,180,0,0,0.0,0,0
786753874,100000224745617,131,0,0,0.045751635,0,7
786753874,100000229150869,161,0,0,0.038297873,0,11
786753874,100000237559209,14,0,0,0.033333335,0,2
786753874,100000239566018,18,0,0,0.02341137,0,2
786753874,100000251584102,20,0,0,0.0,0,0
786753874,100000260775752,2,1,0,0.0,0,0
786753874,100000267803062,174,0,0,0.051194537,0,12
786753874,100000271016343,8,0,0,0.0075329565,0,1
786753874,100000301917944,232,0,0,0.04296875,0,3
786753874,100000305606519,21,0,0,0.0046948357,0,6
786753874,100000314084702,5,0,0,0.004405286,0,0
786753874,100000315744135,7,0,0,0.0,0,0
786753874,100000322347925,30,0,0,0.020689655,0,4
786753874,100000337630654,169,1,0,0.047191013,0,0
786753874,100000356259360,1,0,0,0.010638298,0,0
786753874,100000369639390,214,0,0,0.029850746,0,5
786753874,100000370486707,27,0,0,0.0,0,2
786753874,100000381402808,45,7,0,0.0,0,1
786753874,100000389440814,109,0,0,0.036585364,0,12
786753874,100000391063453,53,7,0,0.0,0,1
786753874,100000397683949,24,0,0,0.0036101083,0,0
786753874,100000400150161,3,0,0,0.006535948,0,0
786753874,100000416391291,1,0,0,0.0068965517,0,0
786753874,100000417196941,64,2,0,0.0,0,0
786753874,100000426402811,132,0,0,0.0064102565,0,4
786753874,100000437298587,18,0,0,0.0,0,0
786753874,100000439385694,46,0,0,0.0,0,0
786753874,100000444991763,159,0,0,0.022891566,0,38
786753874,100000468521086,3,1,0,0.0,0,0
786753874,100000477695596,186,0,0,0.0,0,30
786753874,100000487642242,105,0,0,0.009345794,1,7
786753874,100000490898796,40,0,0,0.0,0,5
786753874,100000491092679,10,0,0,0.0,0,1
786753874,100000493482359,35,1,0,0.0,0,0
786753874,100000495066000,51,1,0,0.011560693,0,0
786753874,100000496047151,141,0,0,0.044303797,0,14
786753874,100000496149549,12,0,0,0.009803922,0,1
786753874,100000516288557,41,2,0,0.0,0,2
786753874,100000520791636,91,0,0,0.027586207,0,6
786753874,100000559292558,92,0,0,0.0,0,6
786753874,100000569214071,5,0,0,0.007168459,0,0
786753874,100000585503677,124,0,0,0.015267176,0,1
786753874,100000596541083,4,0,0,0.0,1,0
786753874,100000617780344,163,0,0,0.03133159,0,25
786753874,100000621716315,35,0,0,0.00456621,0,1
786753874,100000625927092,41,0,0,0.008,0,0
786753874,100000631835402,40,0,0,0.0,0,1
786753874,100000644014060,158,0,0,0.04032258,1,9
786753874,100000648864253,4,0,0,0.0,0,0
786753874,100000665909132,156,0,0,0.05263158,0,23
786753874,100000678949053,1,0,0,0.005050505,0,0
786753874,100000683066692,234,0,0,0.05691057,0,14
786753874,100000685490427,27,0,0,0.0,0,0
786753874,100000688161628,12,1,0,0.0,0,0
786753874,100000703326397,27,0,0,0.0028901733,0,0
786753874,100000712080044,15,0,0,0.0057803467,0,3
786753874,100000721407865,1,0,0,0.005988024,0,1
786753874,100000730104528,1,0,0,0.008064516,1,7
786753874,100000737763528,41,0,0,0.013793103,1,2
786753874,100000758186344,226,0,0,0.03846154,0,29
786753874,100000771118552,114,0,0,0.0,0,1
786753874,100000772782137,92,0,0,0.030303031,0,5
786753874,100000797242840,90,0,0,0.0,0,4
786753874,100000831739323,16,0,0,0.0,0,0
786753874,100000847835169,105,0,0,0.0,0,7
786753874,100000874745149,70,0,0,0.03305785,0,3
786753874,100000880426903,48,0,0,0.011235955,0,0
786753874,100000883237561,162,0,0,0.017699115,0,7
786753874,100000888591914,2,0,0,0.006472492,0,0
786753874,100000898056122,40,0,0,0.042735044,0,4
786753874,100000902467140,2,0,0,0.0,1,5
786753874,100000905107078,107,0,0,0.04895105,0,3
786753874,100000920018147,121,0,0,0.033557046,0,11
786753874,100000928160752,64,0,0,0.005988024,0,4
786753874,100000939259740,50,0,0,0.007843138,1,4
786753874,100000949810876,60,0,0,0.046357617,0,3
786753874,100000952174736,229,0,0,0.067567565,0,51
786753874,100000953723478,206,0,0,0.052980132,0,19
786753874,100000967637031,97,0,0,0.033816423,0,13
786753874,100001008036522,0,0,0,0.0,0,0
786753874,100001048511484,230,0,0,0.030701755,0,31
786753874,100001060790824,131,0,0,0.0,0,14
786753874,100001074697154,205,0,0,0.06369427,0,14
786753874,100001102698016,235,0,0,0.05,0,12
786753874,100001132068611,125,0,0,0.01857585,0,19
786753874,100001144756311,26,0,0,0.009259259,0,1
786753874,100001168146742,174,0,0,0.026022306,0,11
786753874,100001173043664,46,0,0,0.025806451,0,6
786753874,100001175536541,65,0,0,0.055555556,0,7
786753874,100001235457168,26,0,0,0.0,1,5
786753874,100001243186774,63,0,0,0.05,0,2
786753874,100001245463807,221,0,0,0.013640239,0,23
786753874,100001252011729,6,0,0,0.014563107,0,2
786753874,100001279123676,84,0,0,0.037209302,0,17
786753874,100001280095456,36,0,0,0.0,0,2
786753874,100001284138207,1,0,0,0.0031347962,0,1
786753874,100001297755392,4,0,0,0.007633588,0,0
786753874,100001347005035,64,0,0,0.06097561,0,8
786753874,100001355204900,11,0,0,0.011494253,0,1
