main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,1267090916,1,0,0,0.008064516,1,5
786753874,1269049983,33,1,0,0.011764706,1,2
786753874,1272376254,152,0,0,0.017391304,0,7
786753874,1272460372,27,0,0,0.0,0,1
786753874,1274114561,27,1,0,0.0,0,0
786753874,1279860107,38,0,0,0.022222223,0,0
786753874,1285846660,1,0,0,0.016393442,1,9
786753874,1286566147,77,0,0,0.06369427,0,10
786753874,1288338759,32,2,1,0.011976048,0,0
786753874,1288506510,57,0,0,0.046875,0,1
786753874,1294548013,15,0,0,0.018927446,0,2
786753874,1295752306,115,0,0,0.0,0,1
786753874,1299649980,42,0,0,0.015228426,0,0
786753874,1300292077,1,0,0,0.017094018,1,7
786753874,1300310262,24,5,0,0.0032258064,0,1
786753874,1301522599,4,0,0,0.022077922,0,2
786753874,1302052626,148,0,0,0.074324325,0,38
786753874,1305408158,226,1,0,0.042944785,0,10
786753874,1308785940,16,0,1,0.0,0,1
786753874,1308863929,34,3,0,0.005291005,0,1
786753874,1309943462,29,0,0,0.012526096,0,4
786753874,1313943597,35,0,0,0.0,0,0
786753874,1314200167,53,1,0,0.0,0,11
786753874,1315866641,49,0,0,0.06818182,0,3
786753874,1317469890,43,0,0,0.006329114,0,0
786753874,1319803162,6,0,0,0.008695652,0,2
786753874,1319833351,36,0,0,0.006756757,0,0
786753874,1321632508,32,2,0,0.0,0,0
786753874,1322900068,9,1,0,0.008839779,0,15
786753874,1323270739,39,1,0,0.016129032,0,1
786753874,1330108279,195,1,0,0.0,0,27
786753874,1331644653,5,0,0,0.0,0,0
786753874,1334877853,6,0,0,0.0,0,0
786753874,1347246377,43,0,0,0.037815128,0,0
786753874,1349217757,30,0,0,0.0,0,0
786753874,1352298277,253,1,0,0.034013607,0,18
786753874,1353706301,40,4,0,0.007246377,0,0
786753874,1355354026,38,0,0,0.01724138,0,1
786753874,1356576304,12,5,0,0.013157895,0,1
786753874,1359847033,49,6,0,0.004854369,0,0
786753874,1363032614,32,0,0,0.0,0,0
786753874,1363608010,8,3,0,0.0125,0,1
786753874,1366402267,29,1,0,0.008928572,0,1
786753874,1370762503,3,0,1,0.01344086,0,1
786753874,1370837458,44,12,0,0.012903226,0,0
786753874,1373972457,78,0,0,0.03448276,0,6
786753874,1376897603,54,5,0,0.0,0,0
786753874,1378447125,42,61,0,0.0,0,4
786753874,1383491658,90,0,0,0.06049822,0,6
786753874,1386174896,34,0,0,0.010989011,0,0
786753874,1386886894,22,0,0,0.014285714,0,1
786753874,1388993326,32,4,0,0.0,0,0
786753874,1389548456,0,0,0,0.0018726592,0,0
786753874,1393911680,24,0,0,0.013636364,0,0
786753874,1396651308,22,0,0,0.0,0,0
786753874,1400265161,84,2,0,0.020547945,0,4
786753874,1401264711,175,0,0,0.043956045,0,25
786753874,1403390931,15,0,0,0.037656903,0,1
786753874,1404787076,49,0,0,0.009060956,0,7
786753874,1405096489,31,0,0,0.007194245,0,0
786753874,1405324416,2,0,0,0.0,0,0
786753874,1405493883,20,2,0,0.0,0,1
786753874,1407628672,114,0,0,0.059925094,0,9
786753874,1410423153,206,0,0,0.029069768,0,24
786753874,1416641264,32,0,0,0.0,0,4
786753874,1418293304,227,0,0,0.03770492,0,55
786753874,1423794442,3,0,0,0.0,0,0
786753874,1425341328,33,2,0,0.007434944,0,2
786753874,1437043280,115,0,0,0.020501139,0,12
786753874,1442951843,25,0,0,0.0,0,0
786753874,1443571550,222,0,0,0.0,0,6
786753874,1446858344,36,2,0,0.0,0,0
786753874,1448781191,101,30,0,0.0,0,0
786753874,1449396116,187,0,0,0.021621622,0,14
786753874,1451523063,35,0,0,0.0,0,0
786753874,1457485393,4,0,0,0.008185538,0,0
786753874,1457841439,50,1,0,0.019607844,0,0
786753874,1459144322,128,0,0,0.0,0,5
786753874,1467285958,52,11,0,0.0035211267,1,11
786753874,1467734012,39,0,0,0.0,0,0
786753874,1471814849,37,0,0,0.006802721,0,0
786753874,1472431837,46,1,0,0.025641026,0,3
786753874,1473152123,178,0,0,0.036,0,21
786753874,1474877784,11,0,0,0.008,1,0
786753874,1474917443,26,3,0,0.0,0,0
786753874,1477302485,143,0,0,0.05691057,0,20
786753874,1484306386,7,0,0,0.0064935065,0,4
786753874,1484654720,56,2,0,0.009090909,0,0
786753874,1489080113,0,0,0,0.007352941,1,0
786753874,1490615932,70,0,0,0.012295082,0,3
786753874,1502731168,129,0,0,0.026706232,0,8
786753874,1503242027,24,0,0,0.014285714,0,0
786753874,1503277584,7,0,0,0.0,0,0
786753874,1503528228,17,0,0,0.013071896,1,0
786753874,1504276313,9,0,0,0.016129032,0,10
786753874,1507488424,1,4,0,0.005471125,0,0
786753874,1507828399,0,0,0,0.0,0,0
786753874,1521769969,47,3,0,0.0030395137,0,0
786753874,1522125437,1,0,0,0.006802721,0,0
786753874,1522253583,157,0,0,0.0,0,10
