main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts
786753874,1233631321,0,0,0,0,0,0,155,0,1,0
786753874,1234485592,0,1,0,0,0,0,0,0,1,0
786753874,1245150369,0,0,0,0,0,0,0,0,1,0
786753874,1245752774,0,3,0,0,0,0,0,0,3,1
786753874,1248967873,0,1,0,1,0,0,0,0,1,1
786753874,1259476553,0,0,0,0,0,0,0,0,1,0
786753874,1260338103,0,0,0,0,0,0,0,0,12,2
786753874,1261045261,0,0,0,0,0,0,0,0,0,0
786753874,1262107490,0,1,0,0,0,0,0,1,0,0
786753874,1262394387,0,0,0,0,0,0,0,0,0,0
786753874,1266544707,0,0,0,0,0,0,0,0,0,0
786753874,1267090916,0,0,0,0,0,0,0,0,0,0
786753874,1269049983,0,0,0,0,0,0,0,0,0,1
786753874,1272376254,0,0,0,0,0,0,0,0,0,0
786753874,1272460372,0,0,0,0,0,0,0,0,0,1
786753874,1274114561,0,0,0,0,0,0,0,0,0,0
786753874,1279860107,0,0,0,0,0,0,0,0,1,0
786753874,1285846660,0,0,0,0,0,0,0,0,0,0
786753874,1286566147,0,0,0,0,0,0,0,0,0,0
786753874,1288338759,0,0,0,0,0,0,0,0,0,0
786753874,1288506510,0,1,0,0,0,0,0,0,0,0
786753874,1294548013,0,1,0,0,0,0,0,0,19,2
786753874,1295752306,0,7,0,0,0,0,0,0,3,0
786753874,1299649980,0,0,0,0,0,0,0,1,5,0
786753874,1300292077,0,0,0,0,0,0,0,1,0,0
786753874,1300310262,0,0,0,5,0,41,0,0,1,0
786753874,1301522599,0,0,0,0,0,0,0,0,51,8
786753874,1302052626,0,2,0,0,0,0,0,1,3,0
786753874,1305408158,0,9,1,0,0,0,0,0,2,0
786753874,1308785940,0,0,0,0,0,0,1,0,0,0
786753874,1308863929,0,0,0,0,0,0,0,0,0,0
786753874,1309943462,0,0,0,0,0,0,0,0,0,0
786753874,1313943597,0,0,0,0,0,0,0,0,0,0
786753874,1314200167,0,0,0,0,0,0,0,0,4,2
786753874,1315866641,0,1,0,0,0,0,0,0,0,0
786753874,1317469890,0,0,0,0,0,0,0,0,0,0
786753874,1319803162,0,2,0,0,0,0,0,0,3,0
786753874,1319833351,0,0,0,0,0,0,0,0,1,0
786753874,1321632508,0,2,0,0,0,0,0,2,2,0
786753874,1322900068,0,0,0,0,0,0,0,0,0,0
