main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts
786753874,1322900068,0,0,0,0,0,0,0,0,0,0
786753874,1323270739,0,0,0,0,0,0,0,0,0,0
786753874,1330108279,0,0,0,0,0,0,0,0,3,1
786753874,1331644653,0,0,0,0,0,0,0,0,0,0
786753874,1334877853,0,8,0,0,0,0,0,0,0,0
786753874,1347246377,0,0,0,0,0,0,0,0,0,0
786753874,1349217757,0,0,0,0,0,0,0,0,9,0
786753874,1352298277,0,0,0,0,0,0,0,0,6,1
786753874,1353706301,0,0,0,0,0,0,0,0,0,1
786753874,1355354026,0,0,0,0,0,0,0,0,0,0
786753874,1356576304,0,0,0,0,0,0,0,0,0,0
786753874,1359847033,3,3,0,1,0,3,0,0,57,18
786753874,1363032614,0,0,0,0,0,0,0,0,0,0
786753874,1363608010,0,8,0,0,0,1,0,1,15,1
786753874,1366402267,0,1,0,0,0,0,0,0,1,1
786753874,1370762503,0,0,0,0,0,0,0,0,0,0
786753874,1370837458,0,2,0,3,0,0,0,1,13,7
786753874,1373972457,0,0,0,0,0,0,0,0,0,0
786753874,1376897603,2,1,0,0,0,3,0,0,55,11
786753874,1378447125,0,1,0,0,0,32,0,0,5,6
786753874,1383491658,0,0,0,0,0,0,0,0,14,0
786753874,1386174896,0,4,0,0,0,0,0,0,1,0
786753874,1386886894,0,0,0,0,0,0,0,0,0,0
786753874,1388993326,0,0,0,0,0,0,0,0,0,0
786753874,1389548456,0,0,0,0,0,0,0,0,0,0
786753874,1393911680,0,0,0,0,0,0,0,0,7,0
786753874,1396651308,0,0,0,0,0,0,0,0,0,0
786753874,1400265161,2,9,0,2,0,0,1035,5,16,10
786753874,1401264711,0,5,0,0,0,0,0,0,0,0
786753874,1403390931,0,0,0,0,0,0,0,0,7,4
786753874,1404787076,0,0,0,0,0,0,0,0,1,0
786753874,1405096489,0,0,0,0,0,0,0,0,2,0
786753874,1405324416,0,0,0,0,0,0,0,0,1,0
