main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,1528848626,6,0,0,0.0,1,8
786753874,1538344910,103,0,0,0.02631579,0,3
786753874,1539651884,24,0,0,0.005235602,0,0
786753874,1539938592,86,12,0,0.012626262,0,0
786753874,1540124743,48,0,0,0.014634146,0,2
786753874,1544860100,32,0,0,0.015503876,0,12
786753874,1546980418,15,0,0,0.011560693,0,0
786753874,1547282327,24,0,0,0.023622047,0,4
786753874,1548018074,35,0,0,0.0070422534,0,2
786753874,1550018677,150,0,0,0.05235602,0,22
786753874,1551884915,18,0,0,0.012820513,0,0
786753874,1557427385,66,3,0,0.010510511,0,12
786753874,1557897646,49,5,0,0.0,0,0
786753874,1558242585,5,1,0,0.0,0,1
786753874,1567394326,11,0,0,0.0,0,0
786753874,1567977910,24,0,0,0.013888889,0,1
786753874,1568006686,57,0,0,0.0,0,2
786753874,1578944494,31,0,0,0.006666667,0,0
786753874,1582124446,38,0,0,0.0,0,2
786753874,1584073389,248,2,0,0.03846154,0,38
786753874,1589824947,20,0,0,0.005952381,0,0
786753874,1590397420,37,0,0,0.0,0,0
786753874,1592355864,128,0,0,0.05487805,1,8
786753874,1595005234,38,0,0,0.0,0,0
786753874,1597010247,20,0,0,0.028089888,1,1
786753874,1607614269,90,0,0,0.0,0,1
786753874,1608533780,221,0,0,0.075187966,0,51
786753874,1612508356,22,0,0,0.0054644807,0,0
786753874,1615632879,31,4,0,0.0,0,7
786753874,1621571043,14,0,0,0.013157895,1,0
786753874,1624273734,202,0,0,0.0,0,0
786753874,1625524337,8,0,0,0.013888889,0,0
786753874,1627904991,87,0,0,0.067669176,0,10
786753874,1646842845,10,0,0,0.0,0,1
786753874,1649032575,150,0,0,0.09589041,0,16
786753874,1651896481,23,0,0,0.0,0,0
786753874,1656709772,18,0,0,0.009708738,0,0
786753874,1658495303,139,0,0,0.06508876,0,9
786753874,1663583716,7,0,0,0.026548672,0,3
786753874,1666426998,52,0,0,0.008333334,0,2
786753874,1680202194,174,0,0,0.007352941,0,1
786753874,1682379221,37,0,0,0.0,0,0
786753874,1690562898,4,0,0,0.004901961,0,1
786753874,1711142133,44,0,0,0.00862069,0,1
786753874,1735220027,7,0,0,0.0,0,0
786753874,1739662335,205,0,0,0.024691358,0,6
786753874,1758171969,1,0,0,0.008130081,0,10
786753874,1776199837,109,0,0,0.026845638,0,6
786753874,1781564937,7,0,0,0.006024096,0,1
786753874,1782222596,151,0,0,0.043165468,0,8
786753874,1787769347,32,0,0,0.029850746,1,12
786753874,1795528175,1,0,0,0.010695187,1,9
786753874,1798296282,29,4,0,0.005076142,0,0
786753874,1811424547,63,0,0,0.037209302,0,12
786753874,1815188453,46,0,0,0.0,0,2
786753874,1818053958,64,0,0,0.05487805,0,5
786753874,1818335730,47,0,0,0.0,0,0
786753874,1822906426,6,0,0,0.0,0,0
786753874,1826771584,6,0,0,0.0052083335,0,0
786753874,1838641057,1,0,0,0.008333334,0,0
786753874,1840868417,51,0,0,0.0,0,0
786753874,1850090662,17,0,0,0.0,0,0
786753874,1850802422,50,8,0,0.004219409,0,0
786753874,100000002809342,41,0,0,0.015037594,1,4
786753874,100000011902794,55,0,0,0.012605042,0,1
786753874,100000017140059,106,0,0,0.0275,0,10
786753874,100000028793447,173,0,0,0.0,0,0
786753874,100000032424938,32,0,0,0.010256411,0,0
786753874,100000039757875,113,0,0,0.0,0,12
786753874,100000041534263,23,0,0,0.02020202,0,0
786753874,100000043487696,0,0,0,0.006134969,0,0
786753874,100000056034696,89,0,0,0.051282052,0,3
786753874,100000062057242,170,0,0,0.026737968,0,0
786753874,100000064564385,33,0,0,0.014925373,0,0
786753874,100000071751378,14,0,0,0.0,0,0
786753874,100000074820828,21,0,0,0.003236246,0,0
786753874,100000086929404,41,0,0,0.0074626864,0,0
786753874,100000089623396,244,0,0,0.04347826,0,9
786753874,100000097472296,31,0,0,0.01724138,0,1
786753874,100000098200500,25,1,0,0.012244898,0,1
786753874,100000100580530,0,0,0,0.008474576,0,1
786753874,100000100674587,63,0,0,0.009259259,0,4
786753874,100000105905910,186,0,0,0.0546875,0,1
786753874,100000121549723,70,0,0,0.0091743115,0,4
786753874,100000124552681,1,0,0,0.0,0,0
786753874,100000137678481,141,0,0,0.052287582,0,25
786753874,100000148148614,4,0,0,0.0106870225,0,1
786753874,100000149221863,23,0,0,0.011976048,0,0
786753874,100000149543196,24,1,0,0.007246377,0,0
786753874,100000150637369,5,0,0,0.0,0,1
786753874,100000156293391,48,0,0,0.0,0,0
786753874,100000158932040,27,1,0,0.0,0,1
786753874,100000161501984,1,0,0,0.011538462,1,2
786753874,100000161893006,186,0,0,0.053719006,0,14
786753874,100000164616223,169,1,0,0.027272727,0,12
786753874,100000171804432,21,0,0,0.0,0,0
786753874,100000173013279,20,0,0,0.0055555557,0,3
786753874,100000189511139,53,23,0,0.0,0,0
786753874,100000196926441,38,0,0,0.03846154,0,11
786753874,100000197394450,48,3,0,0.0,0,1
