main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,1041351558,37,1,0,0.030303031,0,16
786753874,1045460059,45,4,0,0.006155951,0,2
786753874,1047150945,19,0,0,0.018691588,0,2
786753874,1047929760,81,0,0,0.062992126,0,16
786753874,1049235634,38,1,0,0.0,0,0
786753874,1049867539,0,0,0,0.0,1,6
786753874,1052433254,46,3,0,0.0055555557,0,2
786753874,1052618348,57,0,0,0.011976048,0,4
786753874,1054714315,43,3,0,0.011204482,0,0
786753874,1055024185,58,0,0,0.012170386,0,3
786753874,1055459885,23,0,0,0.018292682,0,0
786753874,1055630259,89,0,0,0.034782607,0,5
786753874,1057818999,203,0,0,0.026737968,0,16
786753874,1058842289,8,0,0,0.027459955,0,4
786753874,1059689768,20,0,0,0.006756757,0,0
786753874,1060875024,5,0,0,0.005586592,0,0
786753874,1061595217,25,0,0,0.0,0,0
786753874,1062124655,6,0,0,0.0,0,0
786753874,1062211624,29,0,0,0.033613447,0,3
786753874,1062309461,167,0,1,0.057017542,0,16
786753874,1062735642,18,0,0,0.0,1,0
786753874,1064957549,51,0,0,0.042168673,0,2
786753874,1065240720,29,0,0,0.0,0,1
786753874,1067379514,191,0,0,0.042735044,0,20
786753874,1067635064,20,0,0,0.0,0,0
786753874,1069036242,18,0,0,0.03089431,0,5
786753874,1070406518,95,0,0,0.0039186873,0,19
786753874,1070867371,2,0,0,0.0,0,0
786753874,1071823405,52,1,0,0.0068965517,0,3
786753874,1072145141,26,0,0,0.018018018,0,3
786753874,1072290881,39,2,0,0.015306123,0,0
786753874,1072571208,67,0,0,0.027322404,0,6
786753874,1073528633,58,1,0,0.024691358,1,5
786753874,1073802457,7,0,0,0.013986014,0,0
786753874,1080436633,44,0,2,0.020689655,1,3
786753874,1081664781,180,0,1,0.042944785,0,19
786753874,1083554242,3,0,0,0.018518519,1,6
786753874,1094254339,15,0,0,0.0021141649,0,0
786753874,1099088175,26,0,0,0.006369427,0,1
786753874,1100412350,3,0,0,0.0,0,0
786753874,1101243577,31,0,0,0.008438818,0,2
786753874,1105223059,15,0,0,0.018072288,0,0
786753874,1105591578,42,1,0,0.010256411,0,1
786753874,1113003477,22,0,0,0.0,0,0
786753874,1121714667,33,0,1,0.0,0,0
786753874,1126045515,5,0,0,0.006060606,0,0
786753874,1126384949,26,0,0,0.0,0,6
786753874,1126828090,47,1,0,0.0,0,1
786753874,1134161021,178,0,0,0.04494382,0,20
786753874,1134884829,26,0,0,0.017902814,0,0
786753874,1136343516,179,0,0,0.015789473,0,9
786753874,1137651675,70,1,0,0.022222223,1,12
786753874,1138347931,30,0,0,0.005194805,0,1
786753874,1142142717,83,0,0,0.017942583,0,15
786753874,1143497082,75,17,0,0.016,1,10
786753874,1144135729,148,0,0,0.042168673,0,5
786753874,1146720413,17,2,0,0.005524862,0,0
786753874,1147048518,78,0,0,0.057803467,0,8
786753874,1147626950,2,0,0,0.0,0,0
786753874,1148762539,2,0,0,0.0,0,0
786753874,1153828751,44,2,0,0.01764706,0,1
786753874,1156142975,12,0,0,0.0,0,0
786753874,1158267070,32,1,0,0.034246575,0,2
786753874,1158957454,117,0,0,0.0,0,12
786753874,1160133149,25,0,0,0.033519555,0,1
786753874,1162982368,5,0,0,0.013157895,0,0
786753874,1163145537,238,0,0,0.03645008,0,8
786753874,1168282493,138,0,0,0.035532996,0,22
786753874,1169138514,114,0,0,0.045714285,0,14
786753874,1176202168,19,0,0,0.028409092,1,2
786753874,1180836219,34,1,0,0.007633588,0,1
786753874,1181620729,134,0,0,0.0012935323,0,0
786753874,1182792547,32,1,null,0.008810572,0,0
786753874,1184910068,4,0,0,0.023584906,1,9
786753874,1186560857,40,16,0,0.0,0,0
786753874,1188745024,168,0,0,0.033557046,0,9
786753874,1189132206,4,0,0,0.022727273,0,2
786753874,1192060538,6,0,0,0.0,0,0
786753874,1192913126,18,1,0,0.007575758,1,0
786753874,1203834694,8,0,1,0.017391304,0,0
786753874,1204343248,14,1,0,0.0,1,0
786753874,1204824048,28,0,0,0.0053619305,0,1
786753874,1212382824,46,0,0,0.0,0,2
786753874,1217130735,12,0,0,0.015625,0,1
786753874,1227200533,89,5,0,0.009259259,0,0
786753874,1231268869,18,0,1,0.0,0,0
786753874,1231538695,115,0,0,0.06622516,0,5
786753874,1231857250,29,0,0,0.034883723,0,1
786753874,1233327586,40,1,0,0.0,0,2
786753874,1233631321,2,0,0,0.0,0,1
786753874,1234485592,3,0,0,0.006451613,0,0
786753874,1245150369,38,0,0,0.0,0,1
786753874,1245752774,3,0,0,0.01579467,0,0
786753874,1248967873,75,0,0,0.016,0,8
786753874,1259476553,2,0,0,0.00729927,0,1
786753874,1260338103,89,0,0,0.0,0,0
786753874,1261045261,20,0,0,0.04694836,0,0
786753874,1262107490,25,0,0,0.01058201,0,0
786753874,1262394387,15,0,0,0.0130293155,0,5
786753874,1266544707,21,1,0,0.0,0,0
