main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts
786753874,100000098200500,0,0,0,0,0,0,0,0,0,0
786753874,100000100580530,0,0,0,0,0,0,0,0,0,0
786753874,100000100674587,0,0,0,0,0,0,0,0,2,0
786753874,100000105905910,0,0,0,0,0,0,0,0,0,0
786753874,100000121549723,0,0,0,0,0,0,0,0,0,0
786753874,100000124552681,0,3,0,0,0,0,0,0,1,0
786753874,100000137678481,0,0,0,0,0,0,0,0,1,0
786753874,100000148148614,0,0,0,0,0,0,0,0,3,2
786753874,100000149221863,0,0,0,0,0,0,0,0,0,0
786753874,100000149543196,0,0,0,0,0,0,0,0,0,0
786753874,100000150637369,0,0,0,0,0,0,0,0,0,0
786753874,100000156293391,0,0,0,0,0,0,0,0,0,0
786753874,100000158932040,0,0,0,0,0,0,0,0,34,6
786753874,100000161501984,0,0,0,0,0,0,0,0,1,0
786753874,100000161893006,0,0,0,0,0,0,0,0,2,1
786753874,100000164616223,0,21,0,0,1,0,0,1,1,0
786753874,100000171804432,0,1,0,0,0,0,0,1,0,0
786753874,100000173013279,0,0,0,0,0,0,0,0,0,0
786753874,100000189511139,0,1,0,9,0,1,0,1,2,10
786753874,100000196926441,0,4,0,0,0,0,0,0,2,0
786753874,100000197394450,0,0,0,0,0,5,0,0,21,20
786753874,100000219945305,0,0,0,0,0,0,0,0,0,0
786753874,100000224745617,0,1,0,0,0,0,0,0,0,0
786753874,100000229150869,0,0,0,0,0,0,0,0,0,0
786753874,100000237559209,0,2,0,0,0,0,0,0,14,0
786753874,100000239566018,0,0,0,0,0,0,0,0,0,0
786753874,100000251584102,0,0,0,0,0,0,0,0,2,0
786753874,100000260775752,0,0,0,0,0,0,0,0,4,0
786753874,100000267803062,0,0,0,0,0,0,0,0,1,0
786753874,100000271016343,0,0,0,0,0,0,0,0,43,0
786753874,100000301917944,0,1,0,0,0,0,0,0,0,0
786753874,100000305606519,0,8,0,0,0,0,0,3,5,3
786753874,100000314084702,0,0,0,0,0,0,0,0,0,0
786753874,100000315744135,0,0,0,0,0,0,0,0,1,0
786753874,100000322347925,0,18,0,0,0,0,0,2,19,5
786753874,100000337630654,0,0,0,0,0,0,0,0,5,0
786753874,100000356259360,0,0,0,0,0,0,0,0,0,0
786753874,100000369639390,0,0,0,0,0,0,0,0,0,0
786753874,100000370486707,0,0,0,0,0,0,0,0,0,0
786753874,100000381402808,1,1,1,0,0,0,0,0,2,4
