main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts
786753874,683344960,0,0,0,0,0,0,0,1,0,0
786753874,684472896,0,0,0,0,0,0,0,3,0,0
786753874,684653819,0,6,0,0,0,0,0,11,0,1
786753874,690562079,0,0,0,0,0,0,0,2,0,0
786753874,691525954,0,0,0,0,0,0,0,0,0,0
786753874,693104539,0,0,0,0,0,0,0,3,0,1
786753874,693223255,0,0,0,0,0,0,0,1,0,1
786753874,693683264,0,0,0,0,0,0,0,1,0,4
786753874,694161823,0,0,0,0,0,0,0,4,0,1
786753874,699493740,0,0,0,0,0,0,52,0,0,0
786753874,700004701,0,6,0,0,2,0,0,5,0,1
786753874,700038903,0,2,0,0,0,0,0,4,0,0
786753874,702617173,0,0,0,0,0,0,0,9,0,0
786753874,705805342,0,0,0,0,0,0,0,1,0,0
786753874,705932846,0,0,0,0,0,0,0,1,0,0
786753874,707352365,0,0,0,0,0,0,0,0,0,0
786753874,709726708,0,0,0,1,0,1,0,14,0,13
786753874,711332930,0,1,0,0,0,0,0,2,7,0
786753874,715758488,0,0,0,0,0,0,0,0,0,0
786753874,720842086,0,3,0,0,0,0,0,0,0,0
786753874,721872113,0,6,0,0,0,0,0,5,0,0
786753874,723874468,0,0,0,0,0,0,0,4,0,2
786753874,727873680,0,0,0,0,0,0,0,14,0,3
786753874,730012321,0,0,0,0,0,0,0,0,0,1
786753874,734450400,0,0,0,0,0,0,0,0,0,0
786753874,735364706,0,1,0,0,0,0,0,2,0,0
786753874,738102199,0,2,0,0,0,0,0,0,0,0
786753874,738759187,0,1,0,0,0,0,0,0,0,0
786753874,742289669,0,0,0,0,0,0,2273,0,0,0
786753874,744844279,0,0,0,0,0,0,0,4,0,6
786753874,746863954,0,0,0,0,0,0,0,0,0,0
786753874,747650255,0,5,0,0,0,1,0,1,0,0
786753874,749953892,0,0,0,0,0,0,0,1,0,2
786753874,751251357,0,0,0,0,0,0,0,0,0,0
786753874,753213323,0,0,0,0,0,8,0,0,0,0
786753874,753997975,0,0,0,0,0,0,0,0,0,0
786753874,755046048,0,0,0,0,0,0,0,0,0,0
786753874,755183463,0,0,0,0,0,0,0,0,0,0
786753874,755982337,0,0,0,0,0,0,0,1,0,0
786753874,757059718,0,7,0,0,0,0,0,6,0,0
