main profile,friend profile,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,100001355204900,1,0,0,0,0,0,0,0,0,0
786753874,100001373012940,3,0,0,0,0,0,3,0,0,0
786753874,100001383204138,0,0,0,0,0,0,0,0,0,0
786753874,100001404098728,1,0,0,0,0,0,14,2,0,0
786753874,100001447037223,0,0,0,0,0,0,1,0,0,0
786753874,100001460220858,0,0,0,0,0,0,3,0,0,0
786753874,100001472776518,0,0,0,0,0,0,0,0,0,0
786753874,100001475253247,0,0,0,0,0,0,0,0,0,0
786753874,100001490933029,1,0,0,0,0,0,4,1,0,0
786753874,100001499679081,1,0,0,0,0,0,0,0,0,0
786753874,100001506432651,0,0,0,0,0,0,0,0,0,0
786753874,100001531730648,3,2,0,0,0,0,0,2,0,6236
786753874,100001558392789,3,0,0,0,9,0,63,8,0,779
786753874,100001581543714,5,0,0,0,0,0,0,0,1,0
786753874,100001776827554,1,0,0,0,0,0,2,0,0,0
786753874,100001841124812,0,0,0,0,0,0,0,0,0,0
786753874,100001864305419,0,0,0,0,0,0,3,2,0,0
786753874,100001868474515,0,0,0,0,0,0,2,0,0,0
786753874,100001915223511,0,0,0,0,0,0,2,0,0,0
786753874,100001940282075,11,0,0,5,0,4,14,1,1,0
786753874,100001949355929,0,0,0,0,0,0,1,0,0,0
786753874,100001963923893,0,0,0,0,0,0,5,0,0,0
786753874,100002008668487,0,0,0,0,0,0,8,1,0,212
786753874,100002013515038,0,0,0,0,0,0,0,0,0,0
786753874,100002019510190,0,0,0,0,0,0,0,0,0,0
786753874,100002028411844,0,0,0,0,0,0,0,0,0,0
786753874,100002039499674,1,0,0,0,0,0,0,0,0,0
786753874,100002055336537,0,0,0,0,0,0,0,0,0,0
786753874,100002059243879,0,0,0,0,0,0,0,0,0,0
786753874,100002062172305,0,0,0,0,0,0,12,4,0,0
786753874,100002068472399,0,0,0,0,0,0,1,2,0,1
786753874,100002070440720,0,0,0,0,0,0,1,0,0,0
786753874,100002093205242,0,0,0,0,0,0,0,0,0,0
786753874,100002130200049,0,0,0,0,0,0,0,0,0,0
786753874,100002202744888,0,0,0,0,0,0,3,0,0,0
786753874,100002203771726,1,0,0,0,0,0,8,0,0,0
786753874,100002224879288,0,0,0,0,0,0,1,0,0,0
786753874,100002253364434,0,0,0,0,0,0,2,0,0,0
786753874,100002255964865,0,0,0,0,0,0,0,0,0,0
786753874,100002260787096,5,0,0,0,0,0,1,0,0,0
