main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts
786753874,100002269465148,0,0,0,0,0,0,0,0,1,0
786753874,100002277139289,0,0,0,0,0,0,0,0,9,0
786753874,100002315976865,0,1,0,0,0,0,0,0,1,0
786753874,100002317378406,0,0,0,0,0,0,0,0,0,1
786753874,100002346973603,0,0,0,0,0,0,0,0,0,0
786753874,100002369402980,0,0,0,0,0,0,0,0,13,1
786753874,100002371241104,0,0,0,0,0,0,0,0,0,0
786753874,100002402235969,0,0,0,0,0,0,0,0,0,0
786753874,100002414641810,0,1,0,0,0,0,0,0,12,2
786753874,100002453250911,0,2,0,0,0,0,0,0,0,0
786753874,100002457593427,0,0,0,0,0,0,0,0,5,13
786753874,100002498944100,0,0,0,0,0,0,0,0,0,0
786753874,100002523432610,0,0,0,0,0,0,0,0,0,0
786753874,100002526464483,0,0,0,0,0,0,0,0,0,0
786753874,100002557890350,0,1,0,0,0,0,0,0,0,0
786753874,100002622161766,0,0,0,0,0,0,0,0,2,0
786753874,100002623489203,0,0,0,0,0,0,0,0,0,0
786753874,100002681725629,0,0,0,0,0,0,0,0,0,0
786753874,100002720035389,0,0,0,0,0,0,0,0,0,0
786753874,100002744926579,0,0,0,0,0,0,0,0,1,0
786753874,100002748196688,0,0,0,0,0,0,0,0,1,0
786753874,100002750746268,0,0,0,0,0,0,0,0,7,0
786753874,100002751589483,0,0,0,0,0,0,18,0,3,1
786753874,100002758209992,0,0,0,0,0,0,0,0,0,0
786753874,100002770863020,0,0,0,0,0,0,0,0,0,0
786753874,100002777019646,0,0,0,0,0,0,0,0,2,0
786753874,100002778837638,0,0,0,0,0,0,0,0,2,0
786753874,100002801996483,0,0,0,0,0,0,0,0,0,0
786753874,100002804666974,0,0,0,0,0,0,0,0,0,0
786753874,100002823635699,0,0,0,0,0,0,0,0,0,0
786753874,100002861715147,0,0,0,0,0,0,0,0,1,0
786753874,100002862924125,0,0,0,0,0,0,0,0,1,0
786753874,100002916342779,0,1,0,0,0,0,0,0,5,0
786753874,100002969371653,0,0,0,0,0,0,0,0,0,0
786753874,100002989567505,0,2,0,0,0,0,31,0,1,0
786753874,100002996743374,0,2,1,0,0,0,0,0,8,0
786753874,100003003227159,0,2,0,0,0,0,0,0,3,0
786753874,100003028958056,0,0,0,0,0,0,0,0,9,0
786753874,100003041180410,0,0,0,0,0,0,0,0,6,0
786753874,100003082417481,0,0,0,0,0,0,0,0,1,0
