main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts
786753874,100000389440814,0,0,0,0,0,0,0,0,1,0
786753874,100000391063453,1,0,0,0,0,10,0,0,56,16
786753874,100000397683949,0,0,0,0,0,0,0,0,0,0
786753874,100000400150161,0,3,0,0,0,0,0,0,2,0
786753874,100000416391291,0,0,0,0,0,0,0,0,0,0
786753874,100000417196941,0,0,0,0,0,4,0,0,2,3
786753874,100000426402811,0,0,0,0,0,0,0,0,0,0
786753874,100000437298587,0,0,0,0,0,0,0,0,0,0
786753874,100000439385694,0,0,0,0,0,0,0,0,0,0
786753874,100000444991763,0,0,0,0,0,0,0,0,3,0
786753874,100000468521086,0,1,0,0,0,0,0,0,1,0
786753874,100000477695596,0,0,0,0,1,1,0,0,0,0
786753874,100000487642242,0,3,0,0,0,0,0,0,2,0
786753874,100000490898796,0,0,0,0,0,0,0,0,0,0
786753874,100000491092679,0,0,0,0,0,0,0,0,1,0
786753874,100000493482359,0,1,0,0,0,0,0,0,1,0
786753874,100000495066000,0,0,0,0,0,0,0,0,60,8
786753874,100000496047151,0,0,0,0,0,0,0,0,0,0
786753874,100000496149549,0,0,0,0,0,0,0,0,0,0
786753874,100000516288557,0,0,0,0,0,0,0,0,0,0
786753874,100000520791636,0,1,0,0,0,0,0,0,0,0
786753874,100000559292558,0,0,0,0,0,0,0,0,0,0
786753874,100000569214071,0,1,0,0,0,0,4,0,4,1
786753874,100000585503677,0,0,0,0,0,0,2,0,0,0
786753874,100000596541083,0,0,0,0,0,0,0,0,0,0
786753874,100000617780344,0,0,0,0,0,0,0,0,2,0
786753874,100000621716315,0,0,0,0,0,0,0,0,0,0
786753874,100000625927092,0,0,0,0,0,0,0,0,1,0
786753874,100000631835402,0,0,0,0,0,0,0,0,0,0
786753874,100000644014060,0,7,0,0,0,0,0,1,1,0
786753874,100000648864253,0,0,0,0,0,0,0,0,4,2
786753874,100000665909132,0,0,0,0,0,0,0,0,13,0
786753874,100000678949053,0,0,0,0,0,0,0,0,1,1
786753874,100000683066692,0,1,0,0,1,0,0,0,10,1
786753874,100000685490427,0,0,0,0,0,0,0,0,0,0
786753874,100000688161628,0,1,0,0,0,0,0,0,0,0
786753874,100000703326397,0,0,0,0,0,0,0,0,0,0
786753874,100000712080044,0,0,0,0,0,0,0,0,0,0
786753874,100000721407865,0,1,0,0,0,0,345,0,3,7
786753874,100000730104528,0,0,0,0,0,0,0,0,1,0
