main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,100001373012940,141,0,0,0.036842104,0,22
786753874,100001383204138,79,0,0,0.040650405,0,10
786753874,100001404098728,19,0,0,0.0,0,0
786753874,100001447037223,1,0,0,0.016627079,1,23
786753874,100001460220858,69,0,0,0.024691358,0,12
786753874,100001472776518,0,0,0,0.0,1,7
786753874,100001475253247,53,0,0,0.018518519,0,0
786753874,100001490933029,187,0,0,0.033613447,0,8
786753874,100001499679081,185,0,0,0.02238806,0,16
786753874,100001506432651,146,0,0,0.04733728,0,23
786753874,100001531730648,8,0,0,0.00625,1,18
786753874,100001558392789,254,1,0,0.0076923077,0,63
786753874,100001581543714,7,0,0,0.0076726344,0,1
786753874,100001776827554,99,0,0,0.031746034,0,null
786753874,100001841124812,11,0,0,0.014285714,0,4
786753874,100001864305419,186,0,0,0.03448276,0,56
786753874,100001868474515,5,0,0,0.0074074073,0,0
786753874,100001915223511,187,0,0,0.07009346,0,25
786753874,100001940282075,39,7,0,0.0,0,0
786753874,100001949355929,2,0,0,0.0,0,0
786753874,100001963923893,110,0,0,0.018779343,0,4
786753874,100002008668487,192,1,0,0.01173709,0,33
786753874,100002013515038,133,0,0,0.01058201,0,1
786753874,100002019510190,81,0,0,0.028368793,0,4
786753874,100002028411844,169,0,0,0.027777778,0,10
786753874,100002039499674,165,0,0,0.015748031,0,16
786753874,100002055336537,225,0,0,0.0,0,2
786753874,100002059243879,220,0,0,0.026455026,0,25
786753874,100002062172305,156,0,0,0.0,0,44
786753874,100002068472399,3,0,0,0.0,0,0
786753874,100002070440720,2,0,0,0.0,0,0
786753874,100002093205242,13,0,0,0.0,0,3
786753874,100002130200049,42,1,0,0.008333334,0,0
786753874,100002202744888,74,0,0,0.0,0,6
786753874,100002203771726,162,0,0,0.04054054,0,54
786753874,100002224879288,94,0,0,0.011454754,0,17
786753874,100002253364434,121,0,0,0.02097902,0,31
786753874,100002255964865,27,0,0,0.005263158,0,0
786753874,100002260787096,165,1,0,0.05882353,0,22
786753874,100002269465148,86,0,0,0.048780486,0,2
786753874,100002277139289,115,0,0,0.06097561,0,13
786753874,100002315976865,103,0,0,0.0,0,0
786753874,100002317378406,77,0,0,0.033898305,0,4
786753874,100002346973603,99,0,0,0.019607844,0,6
786753874,100002369402980,141,0,0,0.084269665,0,35
786753874,100002371241104,141,0,0,0.007142857,0,12
786753874,100002402235969,40,0,0,0.0,0,2
786753874,100002414641810,210,0,0,0.05345912,0,36
786753874,100002453250911,19,0,0,0.0,0,1
786753874,100002457593427,2,0,0,0.0,0,0
786753874,100002498944100,57,0,0,0.017857144,0,3
786753874,100002523432610,112,0,0,0.00877193,0,2
786753874,100002526464483,160,0,0,0.014440433,0,0
786753874,100002557890350,3,0,0,0.0,0,0
786753874,100002622161766,7,0,0,0.0058479533,0,4
786753874,100002623489203,80,0,0,0.062068965,0,8
786753874,100002681725629,186,0,0,0.036231883,0,11
786753874,100002720035389,32,0,0,0.008928572,0,4
786753874,100002744926579,63,0,0,0.016666668,0,4
786753874,100002748196688,4,0,0,0.0,0,0
786753874,100002750746268,143,0,0,0.06962025,0,11
786753874,100002751589483,4,0,0,0.0046296297,0,3
786753874,100002758209992,273,0,0,0.03888889,0,20
786753874,100002770863020,212,0,0,0.03773585,0,24
786753874,100002777019646,51,0,0,0.031578947,0,4
786753874,100002778837638,150,0,0,0.057471264,0,14
786753874,100002801996483,186,0,0,0.039215688,0,20
786753874,100002804666974,125,0,0,0.015748031,0,6
786753874,100002823635699,21,0,0,0.0,0,0
786753874,100002861715147,176,0,0,0.041353382,0,14
786753874,100002862924125,21,0,0,0.019079685,0,9
786753874,100002916342779,112,0,0,0.033557046,1,6
786753874,100002969371653,167,0,0,0.04477612,0,19
786753874,100002989567505,8,0,0,0.0025773195,0,0
786753874,100002996743374,122,0,0,0.042735044,0,6
786753874,100003003227159,47,0,0,0.061068702,0,4
786753874,100003028958056,36,0,0,0.04761905,0,5
786753874,100003041180410,173,0,0,0.047904193,0,3
786753874,100003082417481,235,0,0,0.025062656,0,13
786753874,100003082459266,59,0,0,0.05882353,0,5
786753874,100003091278843,53,0,0,0.02259887,0,5
786753874,100003101702236,170,0,0,0.02,0,9
786753874,100003114977167,99,0,0,0.023809524,0,12
786753874,100003145764022,152,1,0,0.027638191,0,9
786753874,100003153877135,82,0,0,0.027131783,0,8
786753874,100003250125903,146,0,0,0.05479452,0,12
786753874,100003275053626,19,0,0,0.0050251256,0,2
786753874,100003300924326,84,0,0,0.05154639,0,21
786753874,100003322067134,61,0,0,0.017391304,0,0
786753874,100003394291126,145,0,0,0.0,0,14
786753874,100003446081324,122,0,0,0.056962024,0,8
786753874,100003510702872,102,0,0,0.015384615,0,2
786753874,100003588554961,50,0,0,0.022222223,0,7
786753874,100003649871257,119,1,0,0.026785715,0,6
786753874,100003688946836,10,0,0,0.0,0,1
786753874,100003773064730,88,0,0,0.046875,0,4
786753874,100003781304796,47,0,0,0.009345794,0,6
786753874,100003796050499,149,0,0,0.017114915,0,6
786753874,100003865423917,120,0,0,0.056074765,0,10
786753874,100003910758546,180,0,0,0.03468208,0,7
