main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyFriendLikedMyPosts
786753874,100003082459266,0,0,0,0,0,0,0,0,0,0
786753874,100003091278843,0,1,0,0,0,0,0,0,0,0
786753874,100003101702236,0,0,0,0,0,0,0,0,0,0
786753874,100003114977167,0,0,0,0,0,0,0,0,0,1
786753874,100003145764022,0,8,0,1,0,0,1,0,0,5
786753874,100003153877135,0,4,0,0,0,0,3,0,0,2
786753874,100003250125903,0,0,0,0,0,0,0,0,0,0
786753874,100003275053626,0,0,0,0,0,0,0,0,0,0
786753874,100003300924326,0,0,0,0,0,0,2,0,0,6
786753874,100003322067134,0,0,0,0,0,0,0,0,0,0
786753874,100003394291126,0,0,0,0,0,0,0,0,0,3
786753874,100003446081324,0,2,0,0,0,0,0,0,0,1
786753874,100003510702872,0,8,0,0,0,0,0,0,0,0
786753874,100003588554961,0,1,0,0,0,0,0,0,0,2
786753874,100003649871257,0,11,0,0,0,0,0,0,0,1
786753874,100003688946836,0,0,0,0,0,0,0,0,0,0
786753874,100003773064730,0,11,0,0,0,0,1,0,0,8
786753874,100003781304796,0,1,0,0,0,0,0,0,0,1
786753874,100003796050499,0,1,0,0,0,0,0,0,0,0
786753874,100003865423917,0,0,0,0,0,0,0,0,0,4
786753874,100003910758546,0,0,0,0,0,0,0,0,0,0
786753874,100004013176603,0,0,0,0,0,0,0,0,0,0
786753874,100004279538205,0,0,0,0,0,0,1,0,0,1
786753874,100004306957043,0,0,0,0,0,0,0,0,0,1
786753874,100004321380846,0,0,0,0,0,0,0,0,0,0
786753874,100004328702727,0,0,0,0,0,0,0,0,0,3
786753874,100004378953957,0,0,0,0,0,0,0,0,0,1
786753874,100004386930599,0,6,0,0,0,0,0,0,0,14
786753874,100004392614484,0,0,0,0,0,0,1,0,0,1
786753874,100004409406830,0,2,0,0,0,0,0,0,0,0
786753874,100004436880439,0,0,0,0,0,0,0,0,0,0
786753874,100004551300688,0,43,2,0,4,2,18,4436,2,51
786753874,100004602815998,0,0,0,0,0,0,0,0,0,0
786753874,100004722458871,0,2,0,0,0,0,0,0,0,0
786753874,100004787467832,0,0,0,1,0,0,0,0,0,2
786753874,100005406819592,0,0,0,0,0,0,0,0,0,0
786753874,100005449622639,0,0,0,0,0,0,0,0,0,0
786753874,100005553810413,0,0,0,0,0,0,0,0,0,1
786753874,100005931872382,0,0,0,0,0,0,0,0,0,0
786753874,100005968271330,0,0,0,0,0,0,0,0,0,0
