main profile,friend profile,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyPrivateMessages
786753874,6717453,0,0,0,0,0,0,5,1,0,0
786753874,7401149,0,0,0,0,0,0,0,0,0,0
786753874,204502666,0,2,0,0,0,0,13,0,0,0
786753874,505261339,0,0,0,0,0,0,12,1,0,0
786753874,506116521,0,1,0,0,0,0,1,0,0,0
786753874,513054703,0,0,0,0,0,0,2,0,0,0
786753874,520869089,0,0,0,0,0,0,3,3,0,0
786753874,522004674,0,0,0,0,0,0,0,0,0,0
786753874,522732841,0,1,0,0,0,0,1,0,0,0
786753874,525263521,4,4,0,7,0,9,34,12,1,1434
786753874,533538937,0,0,0,0,0,0,0,0,0,0
786753874,535834666,0,0,0,0,0,0,1,0,0,0
786753874,537885020,0,2,0,0,0,0,0,0,0,0
786753874,538147799,0,1,0,0,0,0,8,0,2,0
786753874,543617377,0,0,0,0,0,0,0,0,0,0
786753874,546894930,0,0,0,0,0,0,9,0,0,0
786753874,548542319,0,0,0,0,0,0,0,0,0,0
786753874,552706980,0,0,0,0,0,1,5,4,0,0
786753874,554641382,0,0,0,0,0,0,0,0,0,0
786753874,555668315,0,0,0,0,0,0,0,0,0,0
786753874,558889385,0,0,0,0,0,0,0,0,0,0
786753874,560478394,0,0,0,0,0,0,2,2,0,0
786753874,563115070,0,1,0,0,0,0,0,0,0,0
786753874,563778655,0,0,0,0,0,0,0,0,0,0
786753874,566639631,0,0,0,0,0,0,17,4,0,92
786753874,568922730,0,0,0,0,0,0,0,0,0,0
786753874,569583680,0,0,0,0,0,0,0,0,0,0
786753874,571165424,0,0,0,0,0,0,2,0,0,84
786753874,572807924,0,0,0,0,0,0,0,0,0,0
786753874,576846131,0,0,0,0,0,0,0,0,0,0
786753874,577548971,0,0,0,0,0,0,0,0,0,0
786753874,579846548,0,0,0,0,0,0,2,0,0,0
786753874,582394634,0,1,0,0,0,29,9,4,0,263
786753874,585184338,0,0,0,0,0,0,0,0,0,0
786753874,587240138,0,0,0,0,0,0,0,0,0,0
786753874,593892406,0,0,0,0,0,0,0,0,0,0
786753874,594339927,0,0,0,0,0,0,0,0,0,0
786753874,596039840,0,2,0,0,0,0,2,0,0,0
786753874,599078403,0,0,0,0,0,0,1,0,0,0
786753874,599339685,0,0,0,0,0,0,0,1,0,0
