main profile,friend profile,fbfm.stats.properties.PropertyFriendTaggedMePhoto
786753874,100004551300688,2
786753874,1467285958,6
786753874,100001531730648,0
786753874,100001558392789,0
786753874,1649032575,0
786753874,667859533,1
786753874,1069036242,1
