main profile,friend profile,fbfm.stats.features.FeatureCommonGroups,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeatureCommonLikeRatio
786753874,100001531730648,18,8,0.0062111802
786753874,1467285958,11,52,0.0035211267
786753874,100001558392789,63,253,0.05212355
786753874,100004551300688,6,64,0.075187966
